Ticker,Name,Market Cap (USD),52 Week High (USD),52 Week Low (USD),Revenue Q-0 (USD),Revenue Q-1 (USD),Revenue Q-2 (USD),Revenue Q-3 (USD),Revenue Q-4 (USD),Net Income Q-0 (USD),Net Income Q-1 (USD),Net Income Q-2 (USD),Net Income Q-3 (USD),Net Income Q-4 (USD),Revenue
FRE,Fresenius SE & Co. KGaA,30923302420.48,58.86,36.66,6473960000,6555160000,6530800000,6224560000,6310400000,382800000,265640000,278400000,378160000,-432680000,39
FME,Fresenius Medical Care AG,14039832862.72,62.66,45.36,5666426000,5558720000,5662486640,5898494440,5521787920,318764520,261000000,175416360,77619080,247111320,40
VNA,Vonovia SE,25473991393.28,37.21,27.87,1556952000,1569132000,1580964000,2254344000,1628292000,2720548000,360528000,570256000,-405188000,-85840000,41
1COV,Covestro AG,12943660851.2,70.76,62.08,3919640000,4033320000,3916160000,4179480000,4280400000,-68440000,-185600000,-222720000,38280000,-83520000,42
RHM,Rheinmetall AG,76635170078.72,2329.28,688.11,3224800000,2818800000,2673800000,4040280000,2845480000,176320000,151960000,97440000,547520000,156600000,43
ENR,Siemens Energy AG,106401319157.76,137.05,48.5,12096480000,11304200000,11555920000,10372720000,11299560000,194880000,713400000,503440000,229680000,-338720000,44
BNP,BNP Paribas SA,95505728471.04,98.1,64.24,24899400000,15033600000,34243200000,13851560000,24100160000,3779280000,3423160000,2693520000,3326880000,3938200000,45
BSD2,Banco Santander, S.A.,157950990417.92,11.14,4.94,16445320000,16625120000,18620320000,18341920000,17331560000,4064640000,3979960000,3946320000,3787400000,3770000000,46
BOY,Banco Bilbao Vizcaya Argentaria, S.A.,123360681000.96,22.1,10.28,11342480000,10103600000,10815840000,10811200000,10111720000,2935960000,3188840000,3129680000,2822280000,3047320000,47
IES,Intesa Sanpaolo S.p.A.,112601349816.32,6.94,4.03,8020240000,8338080000,8075920000,8780040000,8070120000,2751520000,3017160000,3033400000,1738840000,2785160000,48
XCA,Crédit Agricole S.A.,58785864253.44,20.5,14.48,6968120000,8418120000,6071440000,7520280000,6931000000,2771240000,2115840000,1960400000,1932560000,2120480000,49
SGE,Société Générale Société anonyme,53274115604.48,69.74,27.89,23699960000,8216280000,37594440000,7955280000,22294040000,1685480000,1865280000,1206400000,1585720000,1291080000,50
BCY,Barclays PLC,79266492252.16,5.73,3.1,8313720000,8336920000,8942440000,7430960000,7594520000,1985920000,2216760000,2431360000,1383880000,2107720000,51
LLY,Eli Lilly and Company,970444145950.72,1120.79,621.53,20416928000,18046932000,14765060000,15698048000,13269356000,6475700000,6566180000,3200788000,5115368000,1125548000,52
TOM,Toyota Motor Corporation,N/A,N/A,N/A,14357815320000,14213858160000,14341264440000,14373670200000,13275701200000,1081213960000,975960200000,771048520000,2544200160000,665568560000,53
STM,Stabilus SE,600259427.84,40.83,20.28,366587840,392060280,378111280,390146280,406781840,11362200,12669520,16069480,19933440,27711240,54
REP,Repsol, S.A.,20573015818.24,19.86,10.94,15694800000,16713280000,31550840000,15886200000,17094920000,274920000,424560000,150800000,192560000,762120000,55
1U1,1&1 AG,4959309209.6,28.54,12.88,1171401640,1145990680,1181471600,1214539720,1161499880,41864400,31862880,54694000,19062280,69500240,56
ADM,Archer-Daniels-Midland Company,29249973207.04,66.12,43.24,23631520000,24552560000,23403000000,24937680000,23126920000,125280000,254040000,342200000,657720000,20880000,57
AAG,Aumann AG,186997530.88,17.01,11.45,57269200,55417840,70192760,91898680,106363880,4570400,2867520,4521680,6893880,7401960,58
AT1,Aroundtown SA,3766491566.08,4.09,2.49,448224000,441496000,342200000,345796000,448572000,279560000,213208000,312736000,383380000,177944000,59
